label,name,c1,c2,c3,id,val_fs,cortical,alpha
,R_8C_ROI,119,89,94,272,6183287,1,255
,R_44_ROI,137,102,94,273,6186633,1,255
,R_45_ROI,91,66,57,274,3752539,1,255
,R_47l_ROI,51,26,27,275,1776179,1,255
,R_a47r_ROI,82,70,69,276,4539986,1,255
,R_6r_ROI,191,215,163,277,10737599,1,255
,R_IFJa_ROI,138,123,104,278,6847370,1,255
,R_IFJp_ROI,130,156,136,279,8952962,1,255
,R_IFSp_ROI,124,112,111,280,7303292,1,255
,R_IFSa_ROI,212,214,196,281,12900052,1,255
,R_p9-46v_ROI,149,143,137,282,9015189,1,255
,R_46_ROI,193,213,191,283,12572097,1,255
,R_a9-46v_ROI,177,134,155,284,10192561,1,255
,R_9-46d_ROI,160,135,151,285,9930656,1,255
,R_9a_ROI,64,55,55,286,3618624,1,255
,R_10v_ROI,0,18,4,287,266752,1,255
,R_a10p_ROI,104,91,112,288,7363432,1,255
,R_10pp_ROI,42,49,51,289,3354922,1,255
,R_11l_ROI,106,98,108,290,7103082,1,255
,R_13l_ROI,95,85,88,291,5789023,1,255
,R_OFC_ROI,41,38,36,292,2369065,1,255
,R_47s_ROI,65,37,38,293,2499905,1,255
,R_LIPd_ROI,145,187,199,294,13089681,1,255
,R_6a_ROI,119,200,143,295,9422967,1,255
,R_i6-8_ROI,107,122,107,296,7043691,1,255
,R_s6-8_ROI,99,93,83,297,5463395,1,255
,R_43_ROI,160,141,69,298,4558240,1,255
,R_OP4_ROI,119,163,49,299,3253111,1,255
,R_OP1_ROI,94,154,36,300,2398814,1,255
,R_OP2-3_ROI,137,130,53,301,3506825,1,255
,R_52_ROI,198,69,61,302,4015558,1,255
,R_RI_ROI,167,86,44,303,2905767,1,255
,R_PFcm_ROI,181,153,90,304,5937589,1,255
,R_PoI2_ROI,126,126,86,305,5668478,1,255
,R_TA2_ROI,137,43,34,306,2239369,1,255
,R_FOP4_ROI,204,158,148,307,9739980,1,255
,R_MI_ROI,169,130,118,308,7766697,1,255
,R_Pir_ROI,52,65,75,309,4931892,1,255
,R_AVI_ROI,155,81,96,310,6312347,1,255
,R_AAIC_ROI,78,42,53,311,3484238,1,255
,R_FOP1_ROI,161,141,91,312,6000033,1,255
,R_FOP3_ROI,186,146,113,313,7443130,1,255
,R_FOP2_ROI,97,163,54,314,3580769,1,255
,R_PFt_ROI,104,209,117,315,7721320,1,255
,R_AIP_ROI,132,228,172,316,11330692,1,255
,R_EC_ROI,44,51,38,317,2503468,1,255
,R_PreS_ROI,83,62,90,318,5914195,1,255
,R_H_ROI,59,61,44,319,2899259,1,255
,R_ProS_ROI,85,73,178,320,11684181,1,255
,R_PeEc_ROI,52,63,51,321,3358516,1,255
,R_STGa_ROI,51,50,31,322,2044467,1,255
,R_PBelt_ROI,192,29,10,323,662976,1,255
,R_A5_ROI,110,39,3,324,206702,1,255
,R_PHA1_ROI,60,62,78,325,5127740,1,255
,R_PHA3_ROI,76,106,114,326,7498316,1,255
,R_STSda_ROI,70,56,40,327,2635846,1,255
,R_STSdp_ROI,93,58,48,328,3160669,1,255
,R_STSvp_ROI,89,49,61,329,4010329,1,255
,R_TGd_ROI,31,38,28,330,1844767,1,255
,R_TE1a_ROI,7,12,0,331,3079,1,255
,R_TE1p_ROI,105,109,104,332,6843753,1,255
,R_TE2a_ROI,65,63,59,333,3882817,1,255
,R_TF_ROI,59,81,64,334,4215099,1,255
,R_TE2p_ROI,95,134,120,335,7898719,1,255
,R_PHT_ROI,194,250,212,336,13957826,1,255
,R_PH_ROI,70,144,166,337,10915910,1,255
,R_TPOJ1_ROI,126,100,82,338,5399678,1,255
,R_TPOJ2_ROI,138,176,143,339,9416842,1,255
,R_TPOJ3_ROI,97,155,140,340,9214817,1,255
,R_DVT_ROI,125,137,203,341,13339005,1,255
,R_PGp_ROI,144,214,221,342,14538384,1,255
,R_IP2_ROI,185,181,181,343,11908537,1,255
,R_IP1_ROI,124,123,129,344,8485756,1,255
,R_IP0_ROI,107,179,215,345,14136171,1,255
,R_PFop_ROI,170,201,136,346,8964522,1,255
,R_PF_ROI,255,255,221,347,14548991,1,255
,R_PFm_ROI,160,124,134,348,8813728,1,255
,R_PGi_ROI,54,62,49,349,3227190,1,255
,R_PGs_ROI,89,79,76,350,5001049,1,255
,R_V6A_ROI,50,100,170,351,11166770,1,255
,R_VMV1_ROI,51,76,166,352,10898483,1,255
,R_VMV3_ROI,42,69,171,353,11224362,1,255
,R_PHA2_ROI,74,102,97,354,6383178,1,255
,R_V4t_ROI,13,105,128,355,8415501,1,255
,R_FST_ROI,73,164,149,356,9806921,1,255
,R_V3CD_ROI,22,73,204,357,13388054,1,255
,R_LO3_ROI,56,109,170,358,11169080,1,255
,R_VMV2_ROI,59,76,173,359,11357243,1,255
